UID,AGENSI,KATEGORI,HIERARKI,NAMA,UNIT,INDUK,ZON,DAERAH,PBT,ALAMAT,TELEFON,SRC_ID,X_CASS,Y_CASS,LATITUDE,LONGITUDE,GEOM_OK
PDRM-003,PDRM,IPD,DAERAH,IPD Gombak,PENGURUSAN,IPD Gombak,,,,"53100 Gombak, Selangor",03-61262222,3,-6800.923,8722.913,3.252877,101.6413565,True
PDRM-028,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Selayang,PENGURUSAN,IPD Gombak,,,,,,28,-6800.923,8722.913,3.252877,101.6413565,True
PDRM-038,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Hospital Selayang,PENGURUSAN,IPD Gombak,,,,,,38,-6091.146,7579.816,3.242538,101.6477401,True
PDRM-037,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Selayang Baru,PENGURUSAN,IPD Gombak,,,,,,37,-3510.751,8190.741,3.2480566,101.6709586,True
PDRM-036,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Batu Caves,PENGURUSAN,IPD Gombak,,,,,,36,-1622.846,6750.917,3.2350309,101.6879412,True
PDRM-027,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Gombak,PENGURUSAN,IPD Gombak,,,,,,27,1205.683,4940.158,3.2186479,101.7133854,True
PDRM-020,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Taman Melawati,PENGURUSAN,IPD Ampang Jaya,,,,,,20,4972.316,4217.974,3.2121056,101.7472725,True
PDRM-022,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Ukay Perdana,PENGURUSAN,IPD Ampang Jaya,,,,,,22,8315.541,3362.47,3.2043581,101.7773492,True
PDRM-019,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Hulu Klang,PENGURUSAN,IPD Ampang Jaya,,,,,,19,5514.002,243.204,3.1761592,101.7521335,True
PDRM-025,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Bukit Indah,PENGURUSAN,IPD Ampang Jaya,,,,,,25,8049.104,-2369.456,3.152524,101.7749328,True
PDRM-002,PDRM,IPD,DAERAH,IPD Ampang Jaya,PENGURUSAN,IPD Ampang Jaya,,,,"Taman Dagang, 68000 Ampang, Selangor",03-42897222,2,5993.491,-2741.398,3.1491672,101.7564379,True
PDRM-017,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Ampang,PENGURUSAN,IPD Ampang Jaya,,,,,,17,7398.571,-4724.097,3.1312326,101.7690725,True
PDRM-026,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Hospital Ampang,PENGURUSAN,IPD Ampang Jaya,,,,,,26,6767.631,-5047.39,3.1283111,101.7633952,True
PDRM-018,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Pandan Indah,PENGURUSAN,IPD Ampang Jaya,,,,,,18,5304.185,-5089.114,3.1279384,101.7502292,True
PDRM-024,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Taman Muda,PENGURUSAN,IPD Ampang Jaya,,,,,,24,6473.536,-5938.481,3.1202537,101.7607465,True
PDRM-023,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Pandan Perdana,PENGURUSAN,IPD Ampang Jaya,,,,,,23,4672.566,-6847.051,3.1120429,101.7445415,True
PDRM-060,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Batu 9 Cheras,PENGURUSAN,IPD Kajang,,,,,,60,7594.825,-11693.479,3.0682063,101.7708155,True
PDRM-096,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Kota Damansara,PENGURUSAN,IPD Petaling Jaya,,,,,,96,-12132.652,-2417.091,3.1521449,101.593364,True
PDRM-092,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Damansara,PENGURUSAN,IPD Petaling Jaya,,,,,,92,-8677.368,-4590.467,3.1324837,101.6244456,True
PDRM-094,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Sea Park,PENGURUSAN,IPD Petaling Jaya,,,,,,94,-8816.61,-6240.09,3.1175659,101.6231896,True
PDRM-010,PDRM,IPD,DAERAH,IPD Petaling Jaya,PENGURUSAN,IPD Petaling Jaya,,,,"Jalan Pencala, 46050 Petaling Jaya, Selangor",03-79662222,10,-6696.125,-8312.123,3.0988234,101.6422619,True
PDRM-091,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Petaling Jaya,PENGURUSAN,IPD Petaling Jaya,,,,,,91,-6696.125,-8312.123,3.0988234,101.6422619,True
PDRM-095,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Sungai Way,PENGURUSAN,IPD Petaling Jaya,,,,,,95,-9043.24,-9600.419,3.0871777,101.6211442,True
PDRM-093,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Kelana Jaya,PENGURUSAN,IPD Petaling Jaya,,,,,,93,-11372.693,-8088.489,3.100855,101.6001908,True
PDRM-097,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Ara Damansara,PENGURUSAN,IPD Petaling Jaya,,,,,,97,-13062.731,-6328.816,3.1167714,101.5849898,True
PDRM-139,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Bukit Jelutong,PENGURUSAN,IPD Shah Alam,,,,,,139,-16623.296,-6899.204,3.1116186,101.5529568,True
